user_name,review_text,rating,label
Amber Thibeault,Andrea is amazing. Our dog loves her and she always looks amazing after Andrea works her magic!,5,Irrelevant
Esther,"Andrea does a wonderful  job  with our wild Princess. Thank  you Andrea, you are the best.",5,Irrelevant
Bob Barrett,Never called back,1,Rant
Luz Quiles,They don't answer the phones,3,Rant
Tim Sanderson,Limited information on the website,3,Irrelevant
Ellen Nastir,Leigh-Ann is an incredibly creative facilitator and genuinely cares about those in her community. She offers her expertise freely and always shares ideas you can modify to fit the needs of your team. I enjoy her giving spirit and she is the real deal!,5,Valid
Jinnie Lee Schmid,"Leigh Ann Rodgers is THE undisputed expert in team and individual performance. She's excellent when she's personally delivering team-building workshops and when coaching individual employees, mid-managers and executives. And, she's also amazing at equipping other professionals to do that work inside their own organizations, through her Better Teams Academy and Forward community. On top of all her expertise, she's also highly personable and committed to excellence and integrity. I've known and worked with her for years, and hired her myself in recent years - and I highly recommend her to anyone who is seeking this kind of service and support.",5,Valid
Wanda Walker,"Leigh Ann Rodgers is a great collaborator and a stellar facilitator/consultant. She can adapt to new projects, work cultures and colleagues easily. The Better Teams Assessment is one of the best team building tools I've used in my consulting business.",5,Valid
Heather Clarke,I really appreciate all the wisdom and experience Leigh Ann Rodgers has distilled and presented in the Team Consultant Academy course and the tools and network in Forward.  Great resource!,5,Valid
Cheryle Maurer,Leigh Ann’s masterful facilitation and engagement strategies bring teams together to produce results. Her experience and stories make her relatable and a joy to work with.,5,Valid
Linda Howard,I strongly recommend Better Teams and Leigh Ann Rodgers for any organization looking for a strong facilitator to help improve the cohesiveness and collaboration of a team. I've worked with her directly and have seen how she brings energy and a positive outlook to those working with her.,5,Ad
Website Doctorz,Leigh Ann Rodgers is the best ever business consultant I talked with. Highly recommended.,5,Ad
SuKhi WebsiteDoctorz,Highly Recommended. Increase Engagement in Online Meetings.,5,Ad
Derrick Phillips,Three years ago I had a car accident and I needed immediate help to cover lost wages. Fast Funds swooped in to the rescue and advanced me money to survive. It is 3 years later now my case is settled and Fast Funds got their money back. I must say that 3 years without worrying about making a loan payment or getting collection calls is well worth the fee. I absolutely love what they did to help and would recommend them to anyone waiting on the evil insurance companies to make things whole again.,5,Valid
It's For Sale Main Account,"I wish I could give Jason and Fast Funds 10 stars for the Open & Honest way he conducted business with me.  The level of service was Exceptional.

There are many businesses designed to help people when they are in a less-than advantageous position.  Often, as customers in need of funds to sustain our living expenses we are desperate and have exhausted our resources leaving us few places to turn to and no power in the business relationship.

A businessman who suffered 3 heart failures over the last 18 months and the loss of my career as a result, this certainly was the case with me.

As a company, Fast Funds clearly understands their clientele and how to do this business right.

Design your business model in such a way that you are able to charge reasonable rates to your clients and still conduct business in a fair, ethical manner.

Hire good people with a high level of personal integrity and treat them with the same respect you insist they treat their clients with.  Pay them a wage sufficient to attract and keep quality employees and operate under a system that allows them to keep their integrity intact.

Jason was clear about the cost of the advance from the beginning.  The fee structure is easy to understand and there are no hidden charges or complicated scenarios to confuse the client.

As mentioned, the level of service was superb.  Highlighted by Jason's willingness to be helpful, answer questions, sometimes a little after hours.  He was clear about the process and what to expect without any hesitation that he may be held accountable for the statements he made.

I have been the owner of a service company with 30 employees and the manager of many others.  My name is Tom Hansen and I received my lawsuit advance December 17th, 2019.  My glowing review was earned each step of the way by Jason and the good people at Fast Funds of Hollywood, Florida.",5,Valid
Robert White,"I got over 12k $ from "" Fast Funds"" .

Jason,  worked quickly , and often wired my money on the same exact day.

These guys saved my but, twice !!!!

The charges were also much lower than the industry standard.

5 stars . Great service and a great product if you need it . 👍",5,Ad
Mary D. Globally,I sent friends to them recently  Bruce & Jason were very attentive and a great help . I highly recommend them!!.,5,Ad
Yvette Demick,I was so pleased with the way Jason took care of everything and went out of his way to make sure I was taken care off...i was able to handle my family emergency right away  and I will be forever grateful for all the help and efficiiency....Thank you Jason ....it was truly a pleasure doing business with your company....i wish u the best....,5,Valid
Anita Bradshaw,Fast Funds is a great place to do your lawsuit loan from very professional  and caring team of worker especially Mr. Jason .If you ever need any help please call them first you want be dissatisfied.,5,Ad
Sister King,"To whom this may concern,
Recently, I was injured on the job. Stressed about apartment eviction and car/ insurance payments. These three are my biggest bills. After praying about my burdens, I then turned to my lawyer Mr. John Dufour. With his years of experience and affiliation with the company by the name of ""Fast Funds"" which are owned and operated by Mr. Bruce and Jason. Fast funds specializes in settlement cash advances. What does that mean? Its a financial relief for anyone who's injured. With that injury comes with a settlement offer. Well, from first hand it takes time to accumulate all the evidence in your situation. That's when hard times hit and you should contact ""Fast Funds"" where Bruce/Jason will be more than happy to assist you in your financial situation. If it wasn't for these three Angels I would be homeless, Literally! God places people in your life for a reason and these three Angels have been a blessing to my life. So stop worrying about what's already been solved. Go ahead and give ""Fast Funds"" a try Today!",5,Ad
Jenny Castillo,The best fast funds ever I lost my mother thanks to fast funds I was able to cover my mother funeral so professional and services are so fast the funds were in my account in the blink of an eye,5,Ad
jr wood,"Hands down some of the best customer service I have experienced within the industry! Helpful, great pricing, not to mention responding to emails after hours within record time frames!

Thank you for making my transaction so smooth considering all the questions I had.",5,Valid
Anthony Morales,I would definitely recommend shopping for all your off-road related items here! Everything arrived on time and in good condition. I couldn’t be happier. Great customer service from James. 10/10 would recommend!,5,Valid
auburn extreme Powersports,"These guys are amazing and have the feel of a small shop where you can get a change to know the employees. If you have a question or need a recommendation to achieve the customization goal they can totally help you out. I bought new doors, bags, paddle tire kit and they all arrived before my big Thanksgiving trip to make my RZR look sweet. I highly recommend these guys for the huge amount of inventory, experience, and overall great prices, I can buy here without feeling the need to price shop other locations. Thank you to everyone at AO for all your help and you can betcha buns ill be back!",5,Valid
Lovehub,James and Chris went above and beyond on my X3 build. The amount of detail and time they took on every little piece of this car is unmatched. And they were with me every step of the way. Pricing was competitive with online pricing yet they have a brick and mortar location.  Thanks again guys,5,Valid
Westley Aston,Ordered a headlight kit for my X3. Great Price and answers emails quickly. Will order from them again! Thanks!,5,Valid
Nicholas Moreno,These guys are the best in the industry. They do some build and amazing work. I've been taking my utv tonthem for years now.,5,Rant
Fredrick Burnstein,"Great experience, overall - Loved it. 5 Stars.

My Raptor needed the 'Icon Vehicle Dynamics 2010 - 2014 Ford SVT Raptor 3.0 Performance Suspension - Stage 1' and I was able to checkout on the website & it got shipped relatively quickly. Nothing but good things to say about this company!",5,Valid
Chris Hrezo,"I love this place! They have always treated me right and act more like friends to me than just another off-road shop! James is always upfront and honest, and always as professional as possible. Prices are always very low and Dalton does the best and cleanest wiring of any SXS shop that I have seen! They stand behind their products and will do whatever they have to to get the products you need!",5,Valid
Alchemy Leads,Love the quality of work & service here! 5/5 Stars no question,5,Valid
Seth Walker,"I have always admired AO's builds and had one day hoped to get my car in their shop for upgrades. Before I could do that, I ran out of talent and wadded up the front end on my RZR cracking the frame in the process. I called Alternative the following day (on a Sunday) and surprisingly James answered my call. He answered all my questions and walked me through the whole insurance process without even expecting me to bring my car to him. It was like we had known each other for years.

The shop is a couple hours from me but was well worth the drive. I ended up having a lot of problems with my insurance company dropping the ball and jacking me around. James was super patient, helped me out a ton with all the issues, was up front about every detail, and finally my RZR came back looking like nothing ever happened even with a full frame swap. They went above and beyond to clean up all my wiring that another ""shop"" had slapped together.

Their pics speak for themselves. Believe me when I say their work is very clean and thorough. Solid team of guys that do things right the first time. Extremely hard to find in this industry.

Highly recommend!",5,Valid
What the Z,One of the best places for off road parts.,5,Ad
Bill Rabe,My refund was issued,4,Irrelevant
Charmian McKeown,"Horrendous experience

Ordered an expensive desk from Homary and was told 9 - 11 week delivery time. It took 21 weeks. I was very happy to wait and was very understanding due to the COVID situation however when the desk finally arrived, it was only one piece, with no legs! I was then told the remaining legs would arrive in 9 - 11 weeks again, but may be longer. I could not wait another 21 weeks as I work from home and have no where to sit!

I politely asked for a refund as I couldn't wait any longer and would just purchase a cheaper desk for now that could be delivered quickly.

I have only been refunded a partial amount and no idea why, as I should get the full refund - they are now ignoring my communications.

However the most frustrating and rude part of this process is that after my understanding for 21 weeks, I asked for the large/heavy piece of unusable desk they delivered to be picked up - I cannot move it and it is taking up my entire hall. I was told I have to ""dispose of it"". I explained it is too heavy and I can't afford to get someone to come and get it, I was then told to ""Ask family or friends to help"". I have no family or friends living near me and I found this so unhelpful and pretty assumptive and upsetting. It is now sitting in my hallway as a health and safety hazard, I am £80 down as they haven't paid me a full refund and I have to order anew desk to work from after waiting 21 weeks.

I never review companies online as I understand mistakes happen but I wouldn't want anyone else to deal with this incompetent company.

Be warned!",1,Rant
Steve J,"Hi... It's been almost a month since I purchase a table that said ""in stock""... I requested the tracking number a few days later by email and was told it was being process and will be shipped out soon... Now weeks after it's still not shipped and no further reply to my enquires!!!",1,Irrelevant
Geetha Selva,Dropshipper with a large marketing budget and a website... Terrible service!,1,Ad
mazdak khoshdaman,"It’s sounds like scam . I’ve made a purchase but haven’t received any email or communication. I can’t even contact them . Don’t even know what is my order number . Just going my bank and dispute the transaction.
Looks like scam to me .
Scam
Scam
Scam",1,Ad
Maryam Bozo,Scam!! Buyers beware!!,1,Ad
Jean Sadler,"(Translated by Google) My worst internet ordering experience.
After more than 4 months of waiting, no delivery news.
I've never had to send so many emails for information, I've been told all kinds of excuses.
Until requesting a refund.
I wasn't even answered anymore,
I had to call 4 times in China with a person who spoke very poor English, and struggled for several weeks to get my money back

(Original)
Ma pire expérience de commande sur internet.
Après plus de 4 mois d’attente, aucune nouvelle de livraison.
Je n’ai jamais eu à envoyer autant de mail pour information, on m’a raconté toute sorte d’excuses.
Jusqu’à demander un remboursement.
On ne me répondait même plus ,
J’ai du appeler 4 fois en Chine avec une personne qui parle très mal anglais, et batailler plusieurs semaines pour être remboursé",1,Irrelevant
Danny Blast,"I had what I believed was an irresolvable sandwich moistener disagreement with my neighbour. ASMC helped me make peace, and saved my home life!",5,Valid
jimmy renteria,"RUN! STAY AWAY!! This company came to my home after a pipe burst upstairs. I had water 2-3 inches deep in my home. They brought at least 6 fans and several extra humidifiers they charged insurance extra for which were never working. I locked my garage door from the inside so I could secure some of my valuables and they broke in while I was gone. They searched through my stuff and stole sodas and beer. They stole military service medals, sunglasses, and several other small items. When I confronted the head technician David Renteria, he said they broke into my garage to use the power outlet. They had also opened a case of sodas that were on a shelf nowhere near the outlet and taped the sodas together 2 at a time to prop fans up in the house. They're the most unprofessional company that I have ever dealt with. STAY AWAY! RUN!",1,Rant
Richard Garcia,By far the best company I have dealt with. Very professional and they made sure my clients carpet was spotless clean. Thank you Rainbow Inernational for going above and beyond what I expected.,5,Valid
Gus Guerra,Excellent company! From something as simple as a carpet clean to water or fire restoration this company is incredible! Highly recommend!! Friendly staff and professional technicians!,5,Valid
Karen Castro,They were very quick and did a nice job. Also very friendly people. 10/10 recommend!,5,Valid
Diver One,"Money hungry.....unprofessional......no communication with the insurance.....they only care about getting the job !
The customer and homeowner is not a concern to them.",1,Rant
Kirsten Reeder,"Our son likes making music, so we signed him up for a summer camp at Mix Major. He loved it! The teaching of skills and interaction with other kids was great for him. He's now taking weekly classes, has created several songs, and because of what he's learned and the confidence it's given him he created an entire album of music. We love that the students use professional software and are learning skills that are up to date and used is the music production industry today. Mr. Jao is also great at helping the kids learn, and making class fun. Can't say enough great things.",5,Valid
Kevin Toop,"I signed my daughter up for a mix major camp just to try something different. She fell in love and now takes a weekly class. I had no idea how much she would enjoy creating and remixing digital music. She gets to work on her computer skills, music skills, and general creativity. She even works on it in her spare time and she is super proud of the projects she completes. Eric does an amazing job and has a real passion for teaching. His unyielding positivity is inspiring and motivating. Mix Major is the best activity my daughter has done in her 11 years!",5,Valid
GRACE MARTINEZ,"Mix Major is a great music school! My son has learned a lot from Eric's professional musical prowess and has enjoyed every weekly lessons.  We are so fortunate that we have found this school, not only for its qualifications as a good music school, but because of its personal touch. Eric truly cares for his students and that's what makes him and his school so special.",5,Valid
George Cheng,"Our child has really enjoyed Mix Major's DJ'ing/music production program!  It started with a summer camp a few summers ago but since we are not local, we could not attend the regular weekday classes.  It was great to see Eric be so adaptive during the pandemic and really grow his online platform to allow our child to now attend the weekly classes.  There aren't too many silver linings from this pandemic but this is one of few.  It's neat to see kids with similar music interests from all over the country now in these classes.  Eric has also arranged, from time to time, extra workshops exposing the students to a variety of people in the music industry which gives the students a wider perspective of real life applications that are possible from these classes.  Our child in general would not sit still long enough to appreciate regular musical instrument lessons but this program has helped to increase the interest in music. Our piano is getting more use now and  there is a much higher level of excitement for orchestra class in middle school.  Who know where this class can take our child, but the new appreciation for music and instruments makes the program well worth it.",5,Valid
Katie,"My son started getting into electronic music using garage band and eventually Ableton. After seeing how he enjoyed making music, I scoured the internet looking for a school to teach that type of music and found Mix Major. We are so glad we did! Our son has learned so much and looks forward to class every week. After each class, he excitedly tells us how he has learned something new. Eric does a great job of pointing our son in the right direction to improve his music/project, always in a positive enthusiastic way. Mix Major is the best!",5,Valid
